testing 1, 2, 3.
177,2020/3/2 13:1:18,74,98612.9
178,2020/3/2 13:1:19,74,98616.9
179,2020/3/2 13:1:20,74,98612.9
180,2020/3/2 13:1:21,74,98614.9
181,2020/3/2 13:1:22,74,98619.3
182,2020/3/2 13:1:23,74,98614.9
183,2020/3/2 13:1:24,74,98617.2
184,2020/3/2 13:1:25,74,98618.5
185,2020/3/2 13:1:26,74,98614.8
186,2020/3/2 13:1:27,74,98619.2
187,2020/3/2 13:1:28,74,98620.8
188,2020/3/2 13:1:29,74,98619.1
189,2020/3/2 13:1:30,74,98616.3
190,2020/3/2 13:1:31,74,98619.9
191,2020/3/2 13:1:32,74,98620.7
192,2020/3/2 13:1:33,74,98623.8
193,2020/3/2 13:1:34,74,98621.8
194,2020/3/2 13:1:35,74,98619.4
195,2020/3/2 13:1:36,74,98618.2
196,2020/3/2 13:1:37,74,98614.1
197,2020/3/2 13:1:38,74,98619.3
198,2020/3/2 13:1:39,74,98619.7
199,2020/3/2 13:1:40,74,98635.2
200,2020/3/2 13:1:41,74,98636.0
201,2020/3/2 13:1:42,74,98637.2
202,2020/3/2 13:1:43,74,98638.0
203,2020/3/2 13:1:44,74,98631.1
204,2020/3/2 13:1:45,74,98635.1
205,2020/3/2 13:1:46,74,98624.7
206,2020/3/2 13:1:47,74,98625.9
207,2020/3/2 13:1:48,74,98615.5
208,2020/3/2 13:1:49,74,98617.9
209,2020/3/2 13:1:50,74,98621.0
210,2020/3/2 13:1:51,74,98619.0
211,2020/3/2 13:1:52,74,98616.6
212,2020/3/2 13:1:53,75,98612.6
213,2020/3/2 13:1:54,75,98617.7
214,2020/3/2 13:1:56,75,98616.1
215,2020/3/2 13:1:57,75,98620.1
216,2020/3/2 13:1:58,75,98618.1
217,2020/3/2 13:1:59,75,98628.0
218,2020/3/2 13:2:0,75,98628.4
219,2020/3/2 13:2:1,75,98617.2
220,2020/3/2 13:2:2,75,98623.9
221,2020/3/2 13:2:3,75,98615.5
222,2020/3/2 13:2:4,75,98614.3
223,2020/3/2 13:2:5,75,98623.1
224,2020/3/2 13:2:6,75,98619.5
225,2020/3/2 13:2:7,75,98619.1
226,2020/3/2 13:2:8,75,98617.5
227,2020/3/2 13:2:9,75,98619.4
228,2020/3/2 13:2:10,75,98622.2
229,2020/3/2 13:2:11,75,98619.0
230,2020/3/2 13:2:12,75,98613.4
231,2020/3/2 13:2:13,75,98620.1
232,2020/3/2 13:2:14,75,98620.6
233,2020/3/2 13:2:15,75,98623.3
234,2020/3/2 13:2:16,75,98613.3
235,2020/3/2 13:2:17,75,98622.9
236,2020/3/2 13:2:18,75,98620.1
237,2020/3/2 13:2:19,75,98620.4
238,2020/3/2 13:2:20,75,98619.2
239,2020/3/2 13:2:21,75,98619.6
240,2020/3/2 13:2:22,75,98616.4
241,2020/3/2 13:2:23,75,98618.4
242,2020/3/2 13:2:24,75,98619.6
243,2020/3/2 13:2:25,75,98618.7
244,2020/3/2 13:2:26,75,98620.3
245,2020/3/2 13:2:27,75,98616.3
246,2020/3/2 13:2:28,75,98618.3
247,2020/3/2 13:2:29,75,98612.7
248,2020/3/2 13:2:30,75,98621.5
249,2020/3/2 13:2:31,75,98617.0
250,2020/3/2 13:2:32,75,98614.7
251,2020/3/2 13:2:33,75,98612.3
252,2020/3/2 13:2:34,75,98609.9
253,2020/3/2 13:2:35,75,98618.3
254,2020/3/2 13:2:37,75,98610.7
255,2020/3/2 13:2:38,75,98604.7
256,2020/3/2 13:2:39,75,98603.6
257,2020/3/2 13:2:40,75,98603.9
258,2020/3/2 13:2:41,75,98600.8
259,2020/3/2 13:2:42,75,98598.3
260,2020/3/2 13:2:43,75,98594.8
261,2020/3/2 13:2:44,75,98590.9
262,2020/3/2 13:2:45,75,98584.5
263,2020/3/2 13:2:46,75,98577.3
264,2020/3/2 13:2:47,75,98593.2
265,2020/3/2 13:2:48,75,98580.9
266,2020/3/2 13:2:49,75,98578.2
267,2020/3/2 13:2:50,75,98571.8
268,2020/3/2 13:2:51,75,98569.8
269,2020/3/2 13:2:52,75,98571.0
270,2020/3/2 13:2:53,75,98571.4
271,2020/3/2 13:2:54,75,98567.0
272,2020/3/2 13:2:55,75,98572.5
273,2020/3/2 13:2:56,75,98567.7
274,2020/3/2 13:2:57,75,98571.3
275,2020/3/2 13:2:58,75,98563.7
276,2020/3/2 13:2:59,75,98565.1
277,2020/3/2 13:3:0,75,98565.4
278,2020/3/2 13:3:1,75,98564.1
